series,x,y
Green,172.5,504.0
Green,173.5,473.0
Green,174.5,474.0
Green,175.5,452.0
Green,176.5,621.0
Green,177.5,587.0
Green,178.5,512.0
Green,179.5,611.0
Green,180.5,652.0
Green,181.5,723.0
Green,182.5,645.0
Green,183.5,656.0
Green,184.5,850.0
Green,185.5,777.0
Green,186.5,720.0
Green,187.5,719.0
Green,188.5,812.0
Green,189.5,741.0
Green,190.5,646.0
Green,191.5,703.0
Green,192.5,778.0
Green,193.5,767.0
Green,194.5,611.0
Green,195.5,800.0
Green,196.5,699.0
Green,197.5,795.0
Green,198.5,781.0
Green,199.5,830.0
Green,200.5,816.0
Green,201.5,912.0
Green,202.5,843.0
Green,203.5,851.0
Green,204.5,847.0
Green,205.5,788.0
Green,206.5,687.0
Green,207.5,700.0
Green,208.5,573.0
Green,209.5,499.0
Green,210.5,377.0
Green,211.5,388.0
Green,212.5,288.0
Green,213.5,294.0
Green,214.5,241.0
Green,215.5,201.0
Green,216.5,168.0
Green,217.5,167.0
Green,218.5,125.0
Green,219.5,114.0
Green,220.5,102.0
Green,221.5,108.0
Green,222.5,68.0
Green,223.5,57.0
Green,224.5,54.0
Green,225.5,49.0
Green,226.5,16.0
Green,227.5,18.0
Green,228.5,10.0
Green,229.5,7.0
Green,230.5,5.0
Green,231.5,9.0
Green,232.5,2.0
Green,233.5,1.0
Green,234.5,1.0
Green,235.5,0.0
Green,236.5,2.0
Green,237.5,0.0
Green,238.5,0.0
Green,239.5,0.0
Green,240.5,0.0
Green,241.5,0.0
Green,242.5,1.0
Green,243.5,0.0
Green,244.5,0.0
Green,245.5,2.0
Green,246.5,0.0
Green,247.5,0.0
Green,248.5,1.0
Green,249.5,0.0
Green,250.5,0.0
Green,251.5,0.0
Green,252.5,0.0
Green,253.5,0.0
Green,254.5,0.0
Green,255.5,0.0
Blue,0.5,0.0
Blue,1.5,0.0
Blue,2.5,0.0
Blue,3.5,0.0
Blue,4.5,0.0
Blue,5.5,0.0
Blue,6.5,0.0
Blue,7.5,0.0
Blue,8.5,7.0
Blue,9.5,0.0
Blue,10.5,0.0
Blue,11.5,0.0
Blue,12.5,1.0
Blue,13.5,0.0
Blue,14.5,0.0
Blue,15.5,0.0
Blue,16.5,0.0
Blue,17.5,0.0
Blue,18.5,0.0
Blue,19.5,0.0
Blue,20.5,0.0
Blue,21.5,0.0
Blue,22.5,0.0
Blue,23.5,0.0
Blue,24.5,0.0
Blue,25.5,0.0
Blue,26.5,0.0
Blue,27.5,0.0
Blue,28.5,0.0
Blue,29.5,0.0
Blue,30.5,0.0
Blue,31.5,0.0
Blue,32.5,0.0
Blue,33.5,0.0
Blue,34.5,0.0
Blue,35.5,0.0
Blue,36.5,0.0
Blue,37.5,0.0
Blue,38.5,0.0
Blue,39.5,0.0
Blue,40.5,0.0
Blue,41.5,3.0
Blue,42.5,2.0
Blue,43.5,7.0
Blue,44.5,14.0
Blue,45.5,24.0
Blue,46.5,46.0
Blue,47.5,67.0
Blue,48.5,108.0
Blue,49.5,137.0
Blue,50.5,254.0
Blue,51.5,347.0
Blue,52.5,483.0
Blue,53.5,626.0
Blue,54.5,785.0
Blue,55.5,1135.0
Blue,56.5,1262.0
Blue,57.5,1631.0
Blue,58.5,1756.0
Blue,59.5,2201.0
Blue,60.5,2355.0
Blue,61.5,2514.0
Blue,62.5,2767.0
Blue,63.5,2943.0
Blue,64.5,2958.0
Blue,65.5,2921.0
Blue,66.5,2876.0
Blue,67.5,2907.0
Blue,68.5,2869.0
Blue,69.5,2873.0
Blue,70.5,2899.0
Blue,71.5,3043.0
Blue,72.5,2919.0
Blue,73.5,3041.0
Blue,74.5,3107.0
Blue,75.5,3238.0
Blue,76.5,3224.0
Blue,77.5,3140.0
Blue,78.5,3218.0
Blue,79.5,3189.0
Blue,80.5,3004.0
Blue,81.5,3030.0
Blue,82.5,3078.0
Blue,83.5,3008.0
Blue,84.5,2787.0
Blue,85.5,2834.0
Blue,86.5,2960.0
Blue,87.5,2962.0
Blue,88.5,2940.0
Blue,89.5,2911.0
Blue,90.5,2949.0
Blue,91.5,3107.0
Blue,92.5,2983.0
Blue,93.5,2922.0
Blue,94.5,3045.0
Blue,95.5,3017.0
Blue,96.5,2738.0
Blue,97.5,2826.0
Blue,98.5,2700.0
Blue,99.5,2818.0
Blue,100.5,2710.0
Blue,101.5,2618.0
Blue,102.5,2559.0
Blue,103.5,2777.0
Blue,104.5,2611.0
Blue,105.5,2643.0
Blue,106.5,2597.0
Blue,107.5,2582.0
Blue,108.5,2622.0
Blue,109.5,2560.0
Blue,110.5,2538.0
Blue,111.5,2558.0
Blue,112.5,2531.0
Blue,113.5,2517.0
Blue,114.5,2660.0
Blue,115.5,2641.0
Blue,116.5,2756.0
Blue,117.5,2867.0
Blue,118.5,2872.0
Blue,119.5,3066.0
Blue,120.5,2912.0
Blue,121.5,3011.0
Blue,122.5,2813.0
Blue,123.5,2909.0
Blue,124.5,2780.0
Blue,125.5,2745.0
Blue,126.5,2527.0
Blue,127.5,2097.0
Blue,128.5,2202.0
Blue,129.5,1984.0
Blue,130.5,1854.0
Blue,131.5,1756.0
Blue,132.5,1499.0
Blue,133.5,1331.0
Blue,134.5,1237.0
Blue,135.5,1146.0
Blue,136.5,1027.0
Blue,137.5,1015.0
Blue,138.5,874.0
Blue,139.5,905.0
Blue,140.5,839.0
Blue,141.5,866.0
Blue,142.5,808.0
Blue,143.5,849.0
Blue,144.5,801.0
Blue,145.5,870.0
Blue,146.5,791.0
Blue,147.5,801.0
Blue,148.5,796.0
Blue,149.5,770.0
Blue,150.5,757.0
Blue,151.5,889.0
Blue,152.5,838.0
Blue,153.5,863.0
Blue,154.5,914.0
Blue,155.5,868.0
Blue,156.5,844.0
Blue,157.5,880.0
Blue,158.5,967.0
Blue,159.5,972.0
Blue,160.5,837.0
Blue,161.5,924.0
Blue,162.5,901.0
Blue,163.5,924.0
Blue,164.5,830.0
Blue,165.5,809.0
Blue,166.5,819.0
Blue,167.5,897.0
Blue,168.5,797.0
Blue,169.5,802.0
Blue,170.5,797.0
Blue,171.5,784.0
Blue,172.5,746.0
Blue,173.5,721.0
Blue,174.5,725.0
Blue,175.5,673.0
Blue,176.5,674.0
Blue,177.5,629.0
Blue,178.5,633.0
Blue,179.5,641.0
Blue,180.5,632.0
Blue,181.5,652.0
Blue,182.5,580.0
Blue,183.5,599.0
Blue,184.5,575.0
Blue,185.5,583.0
Blue,186.5,580.0
Blue,187.5,511.0
Blue,188.5,525.0
Blue,189.5,471.0
Blue,190.5,421.0
Blue,191.5,393.0
Blue,192.5,297.0
Blue,193.5,330.0
Blue,194.5,274.0
Blue,195.5,219.0
Blue,196.5,191.0
Blue,197.5,183.0
Blue,198.5,166.0
Blue,199.5,152.0
Blue,200.5,109.0
